Name,Startdate,County,Acres,Date Contained,Lat,Long,
Sanderson Fire,12/12/2020,Riverside,1933.00 ,12/14/2020,33.932440 ,-117.034590 ,
Cornell Fire,12/7/2020,Ventura,174.00 ,12/8/2020,34.336220 ,-119.078000 ,
Thomas Fire,12/3/2020,Lassen,24.00 ,12/3/2020,41.591948 ,-120.374514 ,
Cerritos Fire,12/2/2020,Riverside,200.00 ,,33.773754 ,-117.051463 ,
Bond Fire,12/2/2020,Orange,6686.00 ,12/10/2020,33.743842 ,-117.674967 ,
Willow Fire,12/2/2020,San Diego,,12/3/2020,32.752778 ,-116.907500 ,
Airport Fire,12/1/2020,Riverside,1087.00 ,12/12/2020,33.893351 ,?-117.62109,
257 Fire,11/17/2020,,49.00 ,11/17/2020,41.443500 ,?-120.87054,
San Dimas Fire,11/5/2020,Los Angeles,131.00 ,11/7/2020,34.146195 ,-117.778561 ,
Cypress Fire,11/1/2020,Riverside ,150.00 ,,34.033430 ,-117.514760 ,
Cypress Fire,11/1/2020, San Bernardino,150.00 ,,34.033430 ,?-117.51477,
Blue Ridge Fire,10/26/2020,Orange,13964.00 ,11/7/2020,33.877257 ,?-117.675067,
Point Fire ,10/26/2020,Placer,,11/09/20?,39.009454 ,-120.488892 ,
Silverado Fire,10/26/2020,Orange,12466.00 ,11/07/20?,33.736140 ,?-117.65719,
Olinda Fire,10/25/2020,Shasta,5.00 ,10/25/20?,40.414860 ,?-122.342,
Pope Fire,10/23/2020,Napa,61.00 ,10/25/20?,38.561840 ,?-122.37828,
Redwood Fire,10/23/2020,Humboldt,102.00 ,,40.558230 ,-123.886580 ,
Ferry Fire,10/22/2020,Butte,6.00 ,10/22/20?,39.516940 ,-121.544750 ,
Cameron Fire,10/18/2020,El Dorado,15.00 ,10/21/20?,38.659387 ,?-120.964726,
Bruder Fire,10/14/2020,San Bernardino,170.00 ,10/16/20?,34.014728 ,-117.138078 ,
Cornell Fire,12/7/2020,Ventura,174.00 ,12/08/20?,34.336220 ,-119.078000 ,
Irvine Fire,10/11/2020,Contra Costa,30.00 ,10/12/20?,37.821737 ,?-122.104314,
Fields Fire,10/6/2020,Yuba,56.00 ,10/07/20?,39.181047 ,?-121.450982,
Diamond Fire,10/13/2020,Calaveras,21.00 ,10/15/20?,37.983370 ,?-120.64541,
Lambert Fire,10/4/2020,Amador,21.00 ,10/06/20?,38.424016 ,?-121.006635,
Pony Fire,10/3/2020,Sacramento,20.00 ,10/04/20?,38.464074 ,-121.039236 ,
Copper Fire,9/30/2020,Amador,48.00 ,10/03/20?,38.493750 ,-121.003602 ,
Candy Fire,9/29/2020,Riverside,227.00 ,09/30/20?,33.764357 ,-117.374419 ,
Martindale Fire,9/28/2020,Los Angeles,230.00 ,09/30/20?,34.563000 ,?-118.4,
Zogg Fire,9/27/2020,Shasta,56338.00 ,10/13/20?,40.539270 ,-122.566560 ,
Zogg Fire,9/27/2021,Tehama,56338.00 ,10/13/20?,40.539270 ,-122.566560 ,
Glass Fire,9/26/2020,Napa ,67484.00 ,10/20/20?,38.562950 ,?-122.49745,
Glass Fire,9/26/2020,Sonoma,67484.00 ,10/20/20?,38.562950 ,?-122.49745,
Snow Fire,9/17/2020,Riverside,,,33.888310 ,?-116.68386,
San Antonio Fire,9/16/2020,Santa Barbara,111.00 ,09/18/20?,34.773809 ,-120.491594 ,
Fox Fire,9/16/2020,Siskiyou,2188.00 ,09/30/20?,41.211022 ,-122.847359 ,
Bullfrog Fire,9/12/2020,Fresno,1185.00 ,11/09/20?,37.135474 ,-119.027309 ,
Shackleford Fire,9/11/2020,Siskiyou,50.00 ,09/21/20?,41.575549 ,?-123.021635,
Schoolhouse Fire,9/9/2020,Siskiyou,45.00 ,09/17/20?,41.682290 ,-122.840570 ,
Willow Fire,9/8/2020,Yuba,1311.00 ,09/14/20?,39.363700 ,?-121.32361,
Sperry Fire,9/8/2020,Stanislaus,45.00 ,09/09/20?,37.463770 ,?-121.18018,
Fork Fire,9/8/2020,El Dorado,,11/09/20?,38.990000 ,-120.394000 ,
Oak Fire,9/7/2020,Mendocino,1100.00 ,09/14/20?,39.493500 ,?-123.3965,
Valley Fire,9/5/2020,San Diego,16390.00 ,09/24/20?,32.765615 ,?-116.692705,
El Dorado Fire,9/5/2020,San Bernardino,22744.00 ,11/16/20?,34.080560 ,-116.986690 ,
El Dorado Fire,9/5/2020,Riverside,22744.00 ,11/16/20?,34.080560 ,-116.986690 ,
Creek Fire,9/4/2020,Fresno ,,,37.191470 ,-119.261175 ,
Creek Fire,9/4/2020,Madera,,,37.191470 ,-119.261175 ,
Catholic Fire,9/1/2020,Lake,13.00 ,09/02/20?,39.012743 ,-122.637037 ,
Slink Fire,9/1/2020,Mono,,,38.568000 ,-119.568000 ,
Hobo Fire,9/1/2020,Trinity,,09/10/20?,40.821260 ,?-123.12461,
Hensley Fire,8/30/2020,Madera,688.00 ,08/30/20?,37.080530 ,?-119.88673,
Johnson Fire,8/28/2020,Los Angeles,290.00 ,08/30/20?,34.659790 ,-118.364110 ,
Perry Fire,8/26/2020,Placer,9.00 ,,38.882500 ,?-121.10411,
R-8 Pinecone Fire,8/26/2020,Lassen,567.00 ,08/31/20?,40.773000 ,?-120.536,
Placer Fire,8/25/2020,San Luis Obispo,53.00 ,,35.433520 ,-120.124330 ,
W-5 Cold Springs,8/23/2020,Lassen,,09/16/20?,41.028611 ,?-120.281389,
Sheep Fire,8/22/2020,Plumas,29570.00 ,09/09/20?,40.274000 ,?-120.757,
Coyote Fire,8/21/2020,Santa Clara,143.00 ,08/26/20?,37.187250 ,-121.684650 ,
Volcano Fire,8/20/2020,San Diego,45.00 ,08/22/20?,33.454896 ,?-117.328234,
Moc Fire,8/20/2020,Tuolumne,2857.00 ,08/30/20?,37.813779 ,-120.312565 ,
Flint Fire,8/19/2020,Calaveras,55.00 ,08/19/20?,38.031060 ,-120.852580 ,
Creek Fire,8/18/2020,Mendocino,820.00 ,08/21/20?,39.817437 ,-123.211101 ,
Butte/Tehama/Glenn Lightning Complex (Tehama/Glenn Zone),8/19/2020,Glenn,19609.00 ,10/09/20?,40.095710 ,-122.439300 ,
Butte/Tehama/Glenn Lightning Complex (Tehama/Glenn Zone),8/19/2020,Tehama ,19609.00 ,10/09/20?,40.095710 ,-122.439300 ,
